project1_file,project2_file,birthmark,comparator,matcher,class1,class2,similarity
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.ChatGPT$ChatGPTBuilder,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,0.5
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.ChatGPT$ChatGPTBuilder,dev.langchain4j.model.output.EnumOutputParser,0.25
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.ChatGPT$ChatGPTBuilder,dev.langchain4j.chain.ConversationalRetrievalChain$ConversationalRetrievalChainBuilder,1.0
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.ChatGPT$ChatGPTBuilder,dev.langchain4j.chain.ConversationalChain$ConversationalChainBuilder,0.782608695652174
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.exception.Error,dev.langchain4j.data.document.DocumentType,0.34328358208955223
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.exception.BizException,dev.langchain4j.code.Judge0JavaScriptEngine$Submission,0.25
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.Model,dev.langchain4j.data.document.DocumentType,0.35384615384615387
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.Message$MessageBuilder,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,0.5
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.Message$MessageBuilder,dev.langchain4j.model.output.EnumOutputParser,0.25
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.Message$MessageBuilder,dev.langchain4j.chain.ConversationalRetrievalChain$ConversationalRetrievalChainBuilder,1.0
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.Message$MessageBuilder,dev.langchain4j.chain.ConversationalChain$ConversationalChainBuilder,0.782608695652174
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.Constant,dev.langchain4j.service.ModerationException,0.3333333333333333
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.Constant,dev.langchain4j.code.Judge0JavaScriptEngine$SubmissionResult,0.5
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.Constant,dev.langchain4j.code.Judge0JavaScriptEngine$Status,0.5
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.ChatCompletionResponseBody$ChatCompletionResponseBodyBuilder,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,0.5
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.ChatCompletionResponseBody$ChatCompletionResponseBodyBuilder,dev.langchain4j.model.output.EnumOutputParser,0.25
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.ChatCompletionResponseBody$ChatCompletionResponseBodyBuilder,dev.langchain4j.chain.ConversationalRetrievalChain$ConversationalRetrievalChainBuilder,1.0
chatgpt-1.0.2.jar,langchain4j-0.24.0.jar,3-gram,JaccardIndex,RoundRobin,com.lilittlecat.chatgpt.offical.entity.ChatCompletionResponseBody$ChatCompletionResponseBodyBuilder,dev.langchain4j.chain.ConversationalChain$ConversationalChainBuilder,0.782608695652174
