project1_file,project2_file,birthmark,comparator,matcher,class1,class2,similarity
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$OutProcess$CMN_destroyControls$1,0.2727272727272727
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$3$1,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$2,0.35714285714285715
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$CMN_setControlParentEnabled$1$1,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$CMN_hasFocus$1,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$CMN_getPreferredSize$1,0.2962962962962963
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$CMN_getComponentImage$3,0.29411764705882354
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.core.SWTNativeComponent$CMN_getComponentImage$1,0.3333333333333333
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.core.NativeModalDialogHandler$CMN_openDialog$1,0.2857142857142857
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.components.core.NativeWebBrowser$CMJ_showWindow$1,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.components.core.NativeFileDialog$1,0.2857142857142857
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.components.core.NativeDirectoryDialog$1,0.2857142857142857
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.EmbeddingStoreIngestor$Builder,chrriis.dj.nativeswing.swtimpl.components.DefaultWebBrowserDecorator$3,0.3125
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.core.NoSerializationTestMessage,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.package-info,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.WebBrowserObject$InitializationListener,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.PeerVMProcessFactory,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.NativeInterfaceListener,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.NSComponent,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.EventDispatchUtils$Condition,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.ApplicationMessageHandler,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.utilities.package-info,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.utilities.internal.INativeFileTypeLauncherStatic,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.utilities.internal.INativeFileTypeLauncher,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.netbeans.NativeCoreAPIProvider,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.internal.ISWTNativeInterface,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.internal.IOleNativeComponent,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.core.NativeMozillaXPCOM$NativeSwingProxy,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.package-info,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.WebBrowserListener,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.WebBrowserAuthenticationHandler,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.JWebBrowserWindow,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.JWebBrowser$WebBrowserDecoratorFactory,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.JVLCPlayer$VLCPlayerDecoratorFactory,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.JHTMLEditor$JHTMLEditorImplementation,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.JHTMLEditor$InitializationListener,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.JFlashPlayer$FlashPlayerDecoratorFactory,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.HTMLEditorListener,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.FlashPlayerListener,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.win32.package-info,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.win32.ShellExplorerListener,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.win32.internal.INativeWShellExplorer,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.win32.internal.INativeWMediaPlayer,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.internal.INativeWebBrowserStatic,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.internal.INativeWebBrowser,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.internal.INativeMozillaXPCOM,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.internal.INativeFileDialog,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.InMemoryEmbeddingStoreJsonCodec,chrriis.dj.nativeswing.swtimpl.components.internal.INativeDirectoryDialog,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTOleNativeComponent$CMN_dumpOleInterfaceDefinitions$2,0.2857142857142857
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTOleNativeComponent$CMN_dumpOleInterfaceDefinitions$1,0.26666666666666666
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$OutProcess$CMN_destroyControls$1,1.0
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$OutProcess$4$1,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$InProcess$6,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$InProcess$5,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$InProcess$2,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$InProcess$1,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$5,0.25
langchain4j-0.24.0.jar,DJNativeSwing-SWT.jar,3-gram,JaccardIndex,RoundRobin,dev.langchain4j.store.embedding.inmemory.GsonInMemoryEmbeddingStoreJsonCodec$1,chrriis.dj.nativeswing.swtimpl.core.SWTNativeInterface$4,0.25
