package,project,dependency,project_type
ChatGPT-1.0.2,ChatGPT-1.0.2,htmlunit,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,httpmime,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,hutool-core,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,jackson-databind,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,junit-jupiter-api,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,httpclient,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,okhttp,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,fluent-hc,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,lombok,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,unirest-java,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,expiringmap,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,hutool-http,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,logback-classic,/ai_app/
ChatGPT-1.0.2,ChatGPT-1.0.2,junit-jupiter-engine,/ai_app/
chatgpt-java-1.0.2,chatgpt-java-1.0.2,acava-common,/ai_app/
chatgpt-java-1.0.2,chatgpt-java-1.0.2,jackson-databind,/ai_app/
chatgpt-java-1.0.2,chatgpt-java-1.0.2,okhttp-sse,/ai_app/
wrapper,ChatGPT-main,org.gradle.wrapper,/ai_app/
wrapper,ChatGPT-main,org.gradle.cli,/ai_app/
wrapper,ChatGPT-main,org.gradle.util.internal,/ai_app/
chatgpt-spring-boot-starter-1.0.4,chatgpt-spring-boot-starter-1.0.4,spring-boot-autoconfigure,/ai_app/
chatgpt-spring-boot-starter-1.0.4,chatgpt-spring-boot-starter-1.0.4,lombok,/ai_app/
chatgpt-spring-boot-starter-1.0.4,chatgpt-spring-boot-starter-1.0.4,spring-boot-starter-web,/ai_app/
wrapper,CodeGPT-master,org.gradle.api.NonNullApi,/ai_app/
langchain4j,langchain4j-0.24.0,slf4j-tinylog,/ai_app/
langchain4j,langchain4j-0.24.0,pdfbox,/ai_app/
